change_id,project,author_name,target,safe_entropy_interaction,is_bot,is_deployment_project,is_pure_config,is_fix,is_feature,is_maintenance,is_deployment,is_ci_change,is_refactor,config_line_ratio,code_line_ratio,churn_density,change_entropy,file_count,churn_log_size,deletion_ratio,msg_readability_ease,msg_gunning_fog,references_bug_tracker,has_subject_tag,modifies_db_migration,modifies_dependencies,modifies_config,modifies_public_api,has_security_impact,is_test_change,is_revert,is_documentation_only,directory_depth,file_extension_entropy,has_gerrit_topic,author_success_rate,author_submission_count,author_trust_score,project_acceptance_rate,historical_file_prob
openstack%2Fopenstack-ansible-os_nova~528837,openstack/openstack-ansible-os_nova,Jimmy McCrory,1,0.0,0,1,1,0,0,0,1,0,0,1.0,0.0,2.0,0.0,1,1.0986122886681098,0.5,22.76333333333335,25.614814814814817,0,0,0,0,0,0,0,0,0,0,2.0,1,1,0.0,0,0.0,0.0,0.0
openstack%2Fopenstack-ansible~557484,openstack/openstack-ansible,Logan V,1,0.0,0,1,1,0,0,0,0,1,0,1.0,0.0,1.0,0.0,1,0.6931471805599453,0.0,43.84400000000002,16.933333333333334,0,0,0,0,0,0,0,0,0,0,5.0,1,1,0.0,0,0.0,0.0,0.0
openstack%2Fcharm-rabbitmq-server~566173,openstack/charm-rabbitmq-server,Vern Hart,1,0.0,0,0,0,0,0,0,0,1,0,0.041666666666666664,0.9583333333333334,12.0,1.4418352893106845,4,3.8918202981106265,0.14583333333333334,78.28416666666669,7.388652482269504,1,0,0,0,1,0,0,0,0,0,1.75,2,1,0.0,0,0.0,0.0,0.0
openstack%2Fironic-python-agent~566544,openstack/ironic-python-agent,waleed mousa,0,0.0,0,0,0,0,0,1,0,0,0,0.003242241778601204,0.9967577582213988,359.8333333333333,1.2664730460508327,6,7.67786350067821,0.0,2.9188396624473114,28.4084388185654,0,0,0,0,1,0,0,0,0,0,4.5,2,0,0.0,0,0.0,0.0,0.0
openstack%2Foctavia~570505,openstack/octavia,sapd,1,0.0,0,0,0,0,1,0,0,0,0,0.08139534883720931,0.9098837209302325,28.666666666666668,3.593897105703031,24,6.535241271013659,0.00872093023255814,29.412655737704938,12.748852459016394,0,0,0,1,1,0,0,0,0,0,3.5833333333333335,6,1,0.0,0,0.0,0.0,0.0
openstack%2Foctavia~589180,openstack/octavia,ZhaoBo,0,0.0,0,0,0,0,1,0,0,0,0,0.061746987951807226,0.8644578313253012,33.2,3.796187631064904,20,6.499787040655854,0.2921686746987952,60.39675471698115,9.52301886792453,0,0,0,0,1,1,0,0,0,0,5.4,4,1,0.0,0,0.0,1.0,0.0
openstack%2Foctavia~590620,openstack/octavia,Yang JianFeng,0,0.0,0,0,0,0,1,0,0,0,0,0.03468586387434555,0.9574607329842932,46.303030303030305,3.2903133641796063,33,7.332369205929062,0.030759162303664923,32.07721153846154,15.182051282051283,0,0,1,0,1,1,0,0,0,0,4.96969696969697,5,1,0.0,0,0.0,0.5,1.0
openstack%2Fpython-octaviaclient~591568,openstack/python-octaviaclient,Yang JianFeng,0,0.0,0,0,0,0,1,0,0,0,0,0.046875,0.953125,10.666666666666666,1.8226830823086637,6,4.174387269895637,0.109375,30.022500000000008,16.333333333333336,0,0,0,0,1,1,0,0,0,0,4.5,2,1,0.0,1,0.0006540222367560497,0.0,0.0
openstack%2Fkolla-ansible~599735,openstack/kolla-ansible,Mark Goddard,0,0.0,0,1,0,0,0,0,0,0,0,0.9256198347107438,0.06611570247933884,4.172413793103448,5.431695834410723,58,5.493061443340548,0.01652892561983471,20.53000000000003,17.555555555555554,0,0,0,0,1,0,0,0,0,0,4.810344827586207,5,1,0.0,0,0.0,0.0,1.0
openstack%2Foctavia~624835,openstack/octavia,German Eichberger,0,0.0,0,0,0,0,0,0,0,1,0,0.5169014084507042,0.43661971830985913,25.357142857142858,3.2195030865116974,28,6.566672429803241,0.059154929577464786,39.06321428571431,13.723809523809525,0,0,0,0,1,1,0,0,0,0,4.678571428571429,6,1,0.0,0,0.0,0.3333333333333333,1.0
openstack%2Foctavia~647406,openstack/octavia,Ann Taraday,0,0.0,0,0,0,0,0,0,0,1,0,0.09144072301967039,0.9027113237639554,58.78125,3.5218859186314195,32,7.540090320145325,0.31951089845826686,43.277222222222235,11.644444444444446,0,0,1,1,1,1,0,0,0,0,3.90625,7,1,0.0,0,0.0,0.25,1.0
openstack%2Fpython-octaviaclient~649758,openstack/python-octaviaclient,Michael Johnson,0,0.0,0,0,0,0,0,0,0,0,0,0.02702702702702703,0.963963963963964,22.2,1.4219616599173082,5,4.718498871295094,0.0,57.30809210526317,10.612280701754386,0,0,0,0,0,1,0,0,0,0,3.8,3,1,0.0,0,0.0,0.0,0.3333333333333333
openstack%2Fpython-octaviaclient~650091,openstack/python-octaviaclient,Michael Johnson,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.995049504950495,67.33333333333333,1.0400680236656377,3,5.313205979041787,0.0,55.150000000000006,10.600000000000001,0,0,0,0,0,1,0,0,0,0,3.6666666666666665,2,1,0.0,1,0.008928571428571432,0.0,0.25
