project,change_id,target,1_references_bug_tracker,2_author_success_rate,3_churn_log_size,5_deletion_ratio,6_file_count,8_avg_sentence_length,9_msg_complexity,10_has_security_impact,11_nlp_change_type,12_is_test_change,13_is_revert,14_modifies_dependencies,15_author_submission_count,16_author_trust_score,17_historical_file_prob,18_is_documentation_only,19_author_file_confidence,20_risk_module_coupling,21_file_extension_entropy,22_relation_depth,23_project_acceptance_rate,24_change_entropy,25_directory_depth,26_msg_readability_ease,27_msg_gunning_fog,28_has_gerrit_topic,29_has_subject_tag,31_test_code_ratio,32_config_change,33_desc_density,34_is_weekend,35_bug_heat,36_bug_severity,37_bug_comments,38_is_bot,full_text_dl,40_sem_vec_0,40_sem_vec_1,40_sem_vec_2,40_sem_vec_3,40_sem_vec_4,40_sem_vec_5,40_sem_vec_6,40_sem_vec_7,40_sem_vec_8,40_sem_vec_9,40_sem_vec_10,40_sem_vec_11,40_sem_vec_12,40_sem_vec_13,40_sem_vec_14
openstack/openstack-ansible-os_nova,I7019b966b475c09a4e3218461941c1112ae28028,1,0,0,1.0986,0.5,1,13.5,233,0,Feature,0,0,0,0,0.0,0.0,0,0.0,1,1,0,0,0.0,1.0,14.53,24.66,1,0,0.0,0,77.6667,0,0,0,0,0,"Use SSL database connections with nova-manage

When Galera SSL is enabled, use SSL encrypted database connections with
nova-manage commands where a connection string is provided.
[SEP]
FILES CHANGED:
tasks/nova_db_setup.yml (+1, -1)
",1.360304,-0.539277,0.130297,1.194836,0.882469,-0.236346,0.161212,0.479124,0.10616,-0.349529,-0.459208,0.619708,0.150061,-0.267634,0.094113
openstack/openstack-ansible,Ifac591c2848c033ad4dfb473bce05860df2bb213,1,0,0,0.6931,0.0,1,18.75,514,0,CI,1,0,0,0,0.0,0.0,0,0.0,4,1,0,0,0.0,4.0,43.42,17.63,1,0,1.0,0,257.0,0,0,0,0,0,"Bootstrap lxc_net mtu for gate

Currently the gate assumes the upstream interface in the testing
machine is always running mtu 1500. We change this assumption by
using the facts collected from the host during bootstrap-host to
properly set MTU in the AIO user variables.

This is needed to prevent test failures while downloading internet
artifacts to containers during gate runs on nodepool providers
(such as recently added Limestone) which use a <1500 MTU.
[SEP]
FILES CHANGED:
tests/roles/bootstrap-host/templates/user_variables.aio.yml.j2 (+1, -0)
",0.044183,-2.002467,0.479659,0.507987,-0.093043,-0.443041,0.718337,0.438112,0.234309,-0.075628,0.101745,-0.103936,0.03061,-0.127624,-0.008999
openstack/charm-rabbitmq-server,I92879445210bac6ee7d96a704cdf428ca738e3b6,1,1,0,3.8918,0.1458,4,5.88,368,0,Bug Fix,0,0,0,0,0.0,0.0,0,0.0,1,2,0,0,1.4418,0.75,56.87,8.31,1,0,0.7292,1,7.5102,0,12,0,9,0,"Enforce a maximum of 1024 async threads.

The beam.smp process won't start if more than 1024 are configured, the
charm could make this by default on large systems (e.g. more than 42
CPUs). This change makes RabbitMQEnvContext.calculate_threads() never
return more than 1024 (MAX_NUM_THREADS).

Closes-Bug: #1768986
[SEP]
FILES CHANGED:
unit_tests/test_rabbitmq_server_relations.py (+4, -1)
unit_tests/test_rabbitmq_context.py (+27, -3)
tox.ini (+1, -1)
hooks/rabbitmq_context.py (+9, -2)
",-0.574129,-0.347949,-0.230332,0.427832,-0.19797,0.320813,0.043861,-0.113401,0.154144,0.132799,0.240195,-0.529522,0.007795,-0.018517,0.015481
openstack/ironic-python-agent,Icfaffd7c58c3c73c3fa28cfc2a6c954d2c93c16e,0,0,0,7.6779,0.0,6,55.67,1253,0,Feature,0,0,0,0,0.0,0.0,0,0.0,5,2,0,0,1.2665,3.5,-16.84,28.97,0,0,0.5405,1,0.5801,0,0,0,0,0,"update NVIDIA NIC firmware images and settings by ironic-python-agent

Add ""update_nvidia_nic_firmware_image"" and ""update_nvidia_nic_firmware_settings""
clean steps to MellanoxDeviceHardwareManager.

By adding those two steps, we can update the firmware image and
firmware settings of NVIDIA NICs by ironic-python-agent using
manual cleaning command
The clean steps require mstflint package installed on the image.
The ""update_nvidia_nic_firmware_image"" clean step requires to pass
""images"" parameter to the clean command
The ""images"" parameter is a json blob contains
a list of images, where each image contains a map of:
  * url: to firmware image (file://, http://)
  * checksum: checksum of the provided image
  * checksumType: md5/sha512/sha256
  * componentFlavor: PSID of the nic
  * version: version of the FW

The ""update_nvidia_nic_firmware_settings"" clean step requires to pass
""settings"" parameter to the clean command
The ""settings"" parameter is a json blob contains
a list of settings, where each settings contains a map of:
  * deviceID: device ID
  * globalConfig: global config
  * function0Config: function 0 config
  * function1Config: function 1 config

Story: 2010228
Task: 46016
[SEP]
FILES CHANGED:
ironic_python_agent/tests/unit/hardware_managers/nvidia/__init__.py (+0, -0)
ironic_python_agent/tests/unit/hardware_managers/test_mlnx.py (+36, -0)
ironic_python_agent/hardware_managers/mlnx.py (+52, -0)
ironic_python_agent/hardware_managers/nvidia/nvidia_fw_update.py (+933, -0)
ironic_python_agent/tests/unit/hardware_managers/nvidia/test_nvidia_fw_update.py (+1131, -0)
releasenotes/notes/feature-2010228-cf3a59b88f07c3a7.yaml (+7, -0)
",-3.715922,1.17727,3.353212,-0.240079,0.662853,0.401403,-0.712631,0.029009,0.110774,-0.555817,-0.410591,0.08029,-0.214457,0.421935,-0.052796
openstack/octavia,I8181ed696b9ab556e7741c08839d79167aff8350,1,0,0,6.5352,0.0087,24,10.83,521,0,CI,0,0,1,0,0.0,0.0,0,0.0,5,7,0,0,3.5939,2.58,16.23,13.56,1,0,0.3576,1,0.7562,0,0,0,0,0,"Support create amphora instance from volume based.

In some deploy production, using volume based instead of localdisk
to protect data and live migrate can perform.

This patch adds:
 - creation a cinder volume for amphora
 - boot amphora with cinder volume
 - config options for cinder client
 - unit tests for cinder functionality

Story: 2001594
Co-authored-by: Vadim Ponomarev <velizarx@gmail.com>
Co-authored-by: Margarita Shakhova <shakhova.margarita@gmail.com>
[SEP]
FILES CHANGED:
releasenotes/notes/volume-based-amphora-9a1899634f5244b0.yaml (+14, -0)
octavia/common/config.py (+37, -0)
octavia/tests/unit/volume/__init__.py (+0, -0)
octavia/volume/__init__.py (+0, -0)
octavia/compute/drivers/nova_driver.py (+51, -2)
octavia/volume/drivers/__init__.py (+0, -0)
etc/octavia.conf (+42, -0)
devstack/settings (+1, -0)
requirements.txt (+1, -0)
octavia/common/constants.py (+10, -0)
octavia/volume/drivers/noop_driver/__init__.py (+0, -0)
octavia/volume/drivers/noop_driver/driver.py (+60, -0)
octavia/common/exceptions.py (+8, -0)
octavia/tests/unit/compute/drivers/test_nova_driver.py (+58, -4)
octavia/volume/drivers/cinder_driver.py (+123, -0)
octavia/tests/unit/volume/drivers/test_cinder_driver.py (+99, -0)
octavia/volume/volume_base.py (+46, -0)
devstack/plugin.sh (+1, -0)
lower-constraints.txt (+1, -0)
octavia/common/clients.py (+42, -0)
octavia/tests/unit/volume/drivers/__init__.py (+0, -0)
octavia/tests/unit/common/test_clients.py (+39, -0)
setup.cfg (+3, -0)
octavia/tests/unit/volume/drivers/test_volume_noop_driver.py (+46, -0)
",-2.058858,0.537971,0.00868,-0.021917,-0.148902,-0.312716,-0.020887,0.523436,-0.386383,-0.304013,0.62383,0.582149,0.382796,0.284994,-0.638892
openstack/octavia,I61c7d8d4df54710a92b8c055be84bba29bf3d7e6,0,0,0,6.4998,0.2922,20,6.62,395,0,Feature,0,0,0,0,0.0,0.0,0,0.0,7,4,0,1.0,3.7962,4.4,54.85,8.69,1,0,0.6386,1,0.594,0,0,0,0,0,"Support HTTP and TCP checks in UDP healthmonitor

This patch introduces 2 macros in lvs.

1. Support HTTP GET, allow users create HTTP healthmonitor for udp pool.
2. Support TCP check, allow users create TCP healthmonitor for udp pool.

Co-Authored-By: Adam Harwell <flux.adam@gmail.com>
Story: 2003200
Task: 23356
Story: 2003199
Task: 23355
[SEP]
FILES CHANGED:
octavia/common/utils.py (+21, -0)
octavia/tests/functional/api/v2/test_health_monitor.py (+60, -23)
releasenotes/notes/additional-udp-healthcheck-types-2414a5edee9f5110.yaml (+5, -0)
octavia/tests/functional/api/test_root_controller.py (+2, -1)
octavia/tests/unit/common/jinja/haproxy/split_listeners/test_jinja_cfg.py (+0, -29)
octavia/tests/unit/common/sample_configs/sample_configs_split.py (+14, -6)
octavia/api/v2/controllers/health_monitor.py (+20, -22)
octavia/tests/unit/common/test_utils.py (+29, -0)
octavia/amphorae/backends/utils/keepalivedlvs_query.py (+1, -1)
octavia/tests/unit/common/sample_configs/sample_configs_combined.py (+13, -5)
api-ref/source/v2/general.inc (+45, -4)
octavia/common/jinja/haproxy/combined_listeners/jinja_cfg.py (+1, -23)
octavia/common/jinja/haproxy/split_listeners/jinja_cfg.py (+1, -23)
octavia/tests/unit/common/jinja/lvs/test_lvs_jinja_cfg.py (+104, -0)
octavia/common/jinja/lvs/templates/macros.j2 (+32, -4)
octavia/api/v2/controllers/pool.py (+12, -3)
octavia/api/root_controller.py (+4, -2)
octavia/common/jinja/lvs/jinja_cfg.py (+15, -1)
octavia/tests/functional/api/v2/test_load_balancer.py (+91, -18)
octavia/tests/unit/common/jinja/haproxy/combined_listeners/test_jinja_cfg.py (+0, -29)
",-1.3652,-0.028872,-0.667435,0.095661,-0.203489,0.052113,-0.559017,0.586848,0.048945,0.201142,0.218757,0.103818,0.76423,0.663423,-0.301017
openstack/octavia,I09ee23dcb83f5f08a56e25cc05ff77caa3ad4230,0,0,0,7.3324,0.0308,33,9.75,307,0,Feature,0,0,0,0,0.0,1.0,0,0.0,7,6,0,0.5,3.2903,3.97,32.08,16.21,1,0,0.6643,1,0.2008,0,0,0,0,0,"Add quota support to octavia's l7policy and l7rule

Current octavia has no l7policy and l7rule quota definitions. But
they are necessary for some scenarios. For example, implement
product design compatible with Neutron Lbaas.

Story: 2003382
Task: 24457
[SEP]
FILES CHANGED:
api-ref/source/parameters.yaml (+28, -0)
octavia/common/config.py (+6, -0)
octavia/controller/worker/v1/flows/l7rule_flows.py (+2, -0)
octavia/tests/functional/api/v2/test_quotas.py (+49, -20)
octavia/tests/functional/api/test_root_controller.py (+2, -1)
api-ref/source/v2/examples/quotas-defaults-response.json (+3, -1)
octavia/controller/worker/v2/flows/l7rule_flows.py (+2, -0)
etc/octavia.conf (+2, -0)
octavia/api/v2/types/quotas.py (+6, -0)
api-ref/source/v2/quota.inc (+10, -0)
octavia/controller/worker/v1/tasks/database_tasks.py (+136, -0)
octavia/tests/unit/common/test_data_models.py (+62, -0)
octavia/db/repositories.py (+81, -0)
api-ref/source/v2/examples/quotas-show-response.json (+3, -1)
octavia/api/v2/controllers/base.py (+7, -1)
octavia/tests/unit/controller/worker/v1/tasks/test_database_tasks_quota.py (+93, -0)
api-ref/source/v2/examples/quota-update-curl (+1, -1)
octavia/controller/worker/v2/tasks/database_tasks.py (+136, -0)
api-ref/source/v2/examples/quotas-list-response.json (+3, -1)
octavia/db/models.py (+4, -0)
octavia/controller/worker/v1/flows/l7policy_flows.py (+2, -0)
api-ref/source/v2/examples/quota-update-response.json (+3, -1)
octavia/db/migration/alembic_migrations/versions/32e5c35b26a8_add_l7policy_and_l7rule_quota.py (+40, -0)
octavia/tests/functional/db/test_repositories.py (+582, -17)
octavia/common/data_models.py (+9, -1)
releasenotes/notes/add-l7policy-and-l7rule-to-quota-4b873c77f1e608e6.yaml (+3, -0)
api-ref/source/v2/examples/quota-update-request.json (+3, -1)
octavia/tests/functional/api/v2/test_l7rule.py (+10, -0)
octavia/api/root_controller.py (+4, -1)
octavia/api/v2/controllers/l7rule.py (+8, -0)
octavia/controller/worker/v2/flows/l7policy_flows.py (+2, -0)
octavia/tests/unit/api/v2/types/test_quotas.py (+87, -0)
octavia/tests/unit/controller/worker/v2/tasks/test_database_tasks_quota.py (+92, -0)
",-0.742169,-0.532632,-0.991084,0.524491,0.476336,0.20896,-0.725083,0.145563,-0.021509,0.149013,-0.050066,0.187588,0.201833,-0.301424,0.062018
openstack/python-octaviaclient,I1e3e60d5d326ff37a1ba53abd767c893748c2774,0,0,0.0,4.1744,0.1094,6,5.0,174,0,Feature,0,0,0,1,0.000654,0.0,0,0.0,5,2,0,0,1.8227,3.5,4.36,18.0,1,0,0.4531,1,2.6769,0,0,0,0,0,"Add l7policy and l7rule to octavia quota

Story: 2003382
Task: 24457

Depends-On: https://review.opendev.org/#/c/590620/
[SEP]
FILES CHANGED:
octaviaclient/tests/unit/osc/v2/test_quota.py (+21, -6)
octaviaclient/osc/v2/quota.py (+25, -1)
octaviaclient/tests/unit/osc/v2/constants.py (+2, -0)
octaviaclient/osc/v2/constants.py (+4, -0)
octaviaclient/osc/v2/utils.py (+2, -0)
releasenotes/notes/add-l7policy-and-l7rule-quota-support-73098a090b252901.yaml (+3, -0)
",-0.043955,2.342077,-1.433136,-0.245311,-0.908125,0.729578,-0.486204,-0.298735,0.483356,-0.420054,-0.322445,-0.051031,0.170194,0.264729,-0.157191
openstack/kolla-ansible,I36119ccdeb264aa3de928ec2254d6ff4cc955bfb,0,0,0,5.4931,0.0165,58,9.0,397,0,Feature,0,0,0,0,0.0,1.0,0,0.0,4,5,0,0,5.4317,3.81,15.34,16.93,1,0,0.0083,1,1.6337,0,0,0,0,0,"Reintroduce kolla-ansible check

This allows operators quickly diagnose all containers across
all hosts by running kolla-ansible check. It returns a list
of containers that are missing, not running or in unhealthy
state for each OpenStack service.

Implements: blueprint check-containers
Co-Authored-By: Roman Krček <roman.krcek@tietoevry.com>
[SEP]
FILES CHANGED:
ansible/roles/etcd/tasks/check.yml (+3, -0)
ansible/roles/common/tasks/check.yml (+3, -0)
ansible/roles/aodh/tasks/check.yml (+3, -0)
ansible/roles/multipathd/tasks/check.yml (+3, -0)
ansible/roles/skyline/tasks/check.yml (+3, -0)
ansible/roles/loadbalancer/tasks/check.yml (+3, -0)
ansible/roles/ovn-db/tasks/check.yml (+4, -0)
ansible/roles/cyborg/tasks/check.yml (+3, -0)
ansible/roles/redis/tasks/check.yml (+4, -0)
ansible/roles/blazar/tasks/check.yml (+3, -0)
ansible/roles/zun/tasks/check.yml (+3, -0)
ansible/roles/designate/tasks/check.yml (+3, -0)
ansible/roles/openvswitch/tasks/check.yml (+3, -0)
ansible/roles/prometheus/tasks/check.yml (+3, -0)
tests/deploy.sh (+2, -0)
ansible/roles/grafana/tasks/check.yml (+3, -0)
ansible/roles/masakari/tasks/check.yml (+3, -0)
ansible/roles/gnocchi/tasks/check.yml (+3, -0)
ansible/roles/rabbitmq/tasks/check.yml (+3, -0)
ansible/roles/ironic/tasks/check.yml (+3, -0)
ansible/roles/opensearch/tasks/check.yml (+3, -0)
ansible/roles/collectd/tasks/check.yml (+3, -0)
ansible/roles/manila/tasks/check.yml (+3, -0)
ansible/roles/venus/tasks/check.yml (+3, -0)
setup.cfg (+1, -1)
ansible/roles/ceilometer/tasks/check.yml (+3, -0)
ansible/roles/service-check/defaults/main.yml (+3, -0)
ansible/roles/neutron/tasks/check.yml (+3, -0)
ansible/roles/barbican/tasks/check.yml (+4, -0)
ansible/roles/heat/tasks/check.yml (+3, -0)
ansible/roles/kuryr/tasks/check.yml (+3, -0)
ansible/roles/cloudkitty/tasks/check.yml (+3, -0)
kolla_ansible/cli/commands.py (+14, -0)
ansible/roles/tacker/tasks/check.yml (+3, -0)
ansible/roles/horizon/tasks/check.yml (+3, -0)
ansible/roles/mariadb/tasks/check.yml (+4, -3)
ansible/roles/service-check/tasks/main.yml (+38, -0)
ansible/roles/memcached/tasks/check.yml (+3, -0)
releasenotes/notes/reintroduce-check-2a385b77e044c507.yaml (+9, -0)
ansible/roles/influxdb/tasks/check.yml (+3, -0)
ansible/roles/iscsi/tasks/check.yml (+3, -0)
ansible/roles/trove/tasks/check.yml (+3, -0)
ansible/roles/service-check/vars/main.yml (+9, -0)
ansible/roles/placement/tasks/check.yml (+3, -0)
ansible/roles/mistral/tasks/check.yml (+3, -0)
ansible/roles/ovs-dpdk/tasks/check.yml (+3, -0)
ansible/roles/watcher/tasks/check.yml (+3, -0)
ansible/roles/cinder/tasks/check.yml (+4, -0)
ansible/roles/magnum/tasks/check.yml (+3, -0)
ansible/roles/nova-cell/tasks/check.yml (+3, -0)
ansible/roles/letsencrypt/tasks/check.yml (+4, -0)
ansible/roles/glance/tasks/check.yml (+4, -0)
ansible/roles/nova/tasks/check.yml (+3, -0)
ansible/roles/hacluster/tasks/check.yml (+3, -0)
ansible/roles/keystone/tasks/check.yml (+4, -0)
ansible/roles/octavia/tasks/check.yml (+3, -0)
ansible/roles/telegraf/tasks/check.yml (+3, -0)
ansible/roles/ovn-controller/tasks/check.yml (+4, -0)
",-1.081888,-0.015668,-0.687387,0.36597,-0.318138,-0.409429,0.003144,0.288655,0.077505,-0.172912,0.556548,0.237218,0.409542,0.344611,-0.357588
openstack/octavia,I00703f86555cbb574b943794b14a36fbc644f1b2,0,0,0,6.5667,0.0592,28,10.5,204,0,Feature,0,0,0,0,0.0,1.0,0,0.0,7,7,0,0.3333,3.2195,3.68,22.95,13.72,1,0,0.1817,1,0.2869,0,0,0,0,0,"Amphora logging

Configure rsyslog to forward logs to a target host

Co-Authored-By: Michael Johnson <johnsomor@gmail.com>
Story: 1665069
Task: 33646
[SEP]
FILES CHANGED:
octavia/amphorae/backends/agent/api_server/keepalived.py (+1, -1)
octavia/common/config.py (+45, -6)
doc/source/admin/index.rst (+1, -0)
octavia/common/jinja/logging/logging_jinja_cfg.py (+66, -0)
octavia/tests/unit/controller/worker/v1/tasks/test_compute_tasks.py (+20, -6)
octavia/common/jinja/haproxy/jinja_cfg.py (+2, -2)
octavia/tests/unit/common/jinja/logging/__init__.py (+0, -0)
etc/octavia.conf (+53, -9)
devstack/settings (+3, -0)
devstack/files/rpms/octavia (+1, -0)
octavia/tests/unit/controller/worker/v2/tasks/test_compute_tasks.py (+20, -6)
octavia/common/constants.py (+2, -0)
devstack/files/debs/octavia (+1, -0)
octavia/cmd/agent.py (+1, -1)
octavia/controller/worker/v1/tasks/compute_tasks.py (+7, -0)
octavia/tests/unit/common/jinja/logging/test_logging_jinja_cfg.py (+61, -0)
octavia/common/jinja/logging/templates/10-rsyslog.conf.template (+27, -0)
devstack/plugin.sh (+37, -1)
devstack/files/rpms-suse/octavia (+1, -0)
devstack/etc/rsyslog/10-octavia-log-offloading.conf (+11, -0)
octavia/amphorae/backends/agent/agent_jinja_cfg.py (+2, -2)
octavia/tests/unit/amphorae/backends/agent/test_agent_jinja_cfg.py (+6, -6)
releasenotes/notes/Add-log-offloading-233cd8612c0dd2b5.yaml (+12, -0)
octavia/amphorae/backends/agent/api_server/keepalivedlvs.py (+1, -1)
octavia/controller/worker/v2/tasks/compute_tasks.py (+7, -0)
octavia/common/jinja/logging/__init__.py (+0, -0)
zuul.d/jobs.yaml (+3, -1)
doc/source/admin/log-offloading.rst (+277, -0)
",-0.713936,0.662753,-1.616125,-0.121986,-0.294111,0.668376,-1.146319,-0.095235,0.206929,-0.492253,0.451767,0.524326,0.179514,0.332999,-0.672529
